1320 東証ETF ダイワ 上場投信-日経225（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","19790","20110","19790","20110","88913","20110"
"2017-01-05","20120","20120","19980","20040","138650","20040"
"2017-01-06","19860","19990","19840","19970","49115","19970"
"2017-01-10","19930","19990","19760","19800","107958","19800"
"2017-01-11","19860","19910","19840","19860","66439","19860"
"2017-01-12","19770","19790","19570","19650","102532","19650"
"2017-01-13","19680","19800","19660","19780","21363","19780"
"2017-01-16","19720","19750","19550","19590","100481","19590"
"2017-01-17","19570","19570","19310","19320","140521","19320"
"2017-01-18","19240","19430","19140","19380","102596","19380"
"2017-01-19","19570","19620","19480","19570","79884","19570"
"2017-01-20","19570","19680","19530","19650","64796","19650"
"2017-01-23","19460","19530","19380","19390","54736","19390"
"2017-01-24","19300","19410","19260","19280","38646","19280"
"2017-01-25","19600","19640","19470","19550","61636","19550"
"2017-01-26","19750","19910","19730","19890","110518","19890"
"2017-01-27","19970","19990","19910","19950","91938","19950"
"2017-01-30","19880","19900","19800","19850","23475","19850"
"2017-01-31","19610","19690","19540","19540","107032","19540"
"2017-02-01","19420","19650","19410","19630","76267","19630"
"2017-02-02","19670","19670","19350","19390","64644","19390"
"2017-02-03","19510","19560","19320","19420","93893","19420"
"2017-02-06","19580","19580","19400","19470","73052","19470"
"2017-02-07","19340","19470","19310","19400","47640","19400"
"2017-02-08","19420","19500","19370","19490","18821","19490"
"2017-02-09","19440","19480","19370","19410","27200","19410"
"2017-02-10","19750","19900","19710","19880","102979","19880"
"2017-02-13","20020","20030","19930","19960","109015","19960"
"2017-02-14","20000","20010","19740","19750","128855","19750"
"2017-02-15","19970","20000","19940","19960","61154","19960"
"2017-02-16","19930","19930","19770","19860","85316","19860"
"2017-02-17","19740","19780","19680","19730","60011","19730"
"2017-02-20","19690","19780","19620","19770","26685","19770"
"2017-02-21","19770","19910","19770","19890","19485","19890"
"2017-02-22","19950","19950","19840","19880","22914","19880"
"2017-02-23","19880","19880","19770","19870","18757","19870"
"2017-02-24","19770","19900","19740","19790","33796","19790"
"2017-02-27","19670","19690","19510","19640","60887","19640"
"2017-02-28","19730","19790","19620","19620","31755","19620"
"2017-03-01","19720","19930","19680","19900","63482","19900"
"2017-03-02","20160","20190","20070","20070","216609","20070"
"2017-03-03","20060","20100","19910","19970","55400","19970"
"2017-03-06","19930","19930","19860","19880","12580","19880"
"2017-03-07","19860","19880","19840","19840","14052","19840"
"2017-03-08","19840","19850","19710","19750","45365","19750"
"2017-03-09","19870","19870","19780","19830","40413","19830"
"2017-03-10","19990","20140","19960","20140","113202","20140"
"2017-03-13","20070","20180","20050","20140","56226","20140"
"2017-03-14","20170","20170","20120","20130","29053","20130"
"2017-03-15","20050","20100","20020","20090","17826","20090"
"2017-03-16","19970","20140","19960","20100","36048","20100"
"2017-03-17","20020","20060","20000","20050","23153","20050"
"2017-03-21","19930","20000","19850","19960","43195","19960"
"2017-03-22","19600","19690","19530","19560","105160","19560"
"2017-03-23","19570","19620","19480","19590","85737","19590"
"2017-03-24","19570","19800","19560","19770","45701","19770"
"2017-03-27","19570","19600","19430","19460","109398","19460"
"2017-03-28","19650","19700","19600","19700","44069","19700"
"2017-03-29","19840","19890","19800","19840","51139","19840"
"2017-03-30","19810","19860","19670","19690","46648","19690"
"2017-03-31","19820","19840","19560","19570","65115","19570"
"2017-04-03","19620","19710","19550","19640","33697","19640"
"2017-04-04","19560","19580","19340","19440","140713","19440"
"2017-04-05","19540","19570","19400","19490","83922","19490"
