4661 東証1部 (株)オリエンタルランド（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","6640","6652","6565","6584","985800","6584"
"2017-01-05","6587","6697","6586","6679","888200","6679"
"2017-01-06","6680","6774","6679","6759","899900","6759"
"2017-01-10","6770","6785","6681","6692","749400","6692"
"2017-01-11","6681","6694","6651","6681","532900","6681"
"2017-01-12","6650","6674","6536","6549","902500","6549"
"2017-01-13","6534","6562","6505","6546","659500","6546"
"2017-01-16","6545","6569","6473","6505","518900","6505"
"2017-01-17","6530","6538","6400","6418","709500","6418"
"2017-01-18","6414","6428","6285","6320","1018200","6320"
"2017-01-19","6346","6411","6337","6374","776900","6374"
"2017-01-20","6377","6430","6332","6402","471200","6402"
"2017-01-23","6379","6379","6303","6303","549000","6303"
"2017-01-24","6285","6339","6260","6301","769400","6301"
"2017-01-25","6345","6357","6271","6306","663700","6306"
"2017-01-26","6337","6370","6293","6349","561300","6349"
"2017-01-27","6396","6421","6350","6353","507700","6353"
"2017-01-30","6361","6403","6319","6391","452000","6391"
"2017-01-31","6250","6264","6061","6187","2077500","6187"
"2017-02-01","6147","6212","6125","6208","936500","6208"
"2017-02-02","6202","6208","6140","6151","757200","6151"
"2017-02-03","6164","6222","6160","6184","485500","6184"
"2017-02-06","6229","6234","6135","6161","579800","6161"
"2017-02-07","6191","6193","6113","6150","691600","6150"
"2017-02-08","6160","6167","6110","6137","593600","6137"
"2017-02-09","6134","6142","6087","6118","821300","6118"
"2017-02-10","6183","6260","6153","6233","885200","6233"
"2017-02-13","6300","6338","6255","6322","687200","6322"
"2017-02-14","6324","6337","6233","6238","528600","6238"
"2017-02-15","6310","6316","6242","6273","446900","6273"
"2017-02-16","6273","6290","6203","6213","440900","6213"
"2017-02-17","6214","6282","6201","6271","483900","6271"
"2017-02-20","6271","6348","6258","6317","616200","6317"
"2017-02-21","6309","6352","6282","6325","552700","6325"
"2017-02-22","6333","6357","6307","6329","373200","6329"
"2017-02-23","6347","6377","6329","6346","383000","6346"
"2017-02-24","6347","6374","6311","6358","501300","6358"
"2017-02-27","6341","6368","6300","6324","521800","6324"
"2017-02-28","6342","6384","6308","6312","602900","6312"
"2017-03-01","6348","6374","6303","6334","487100","6334"
"2017-03-02","6369","6391","6326","6354","512100","6354"
"2017-03-03","6355","6381","6332","6358","551800","6358"
"2017-03-06","6360","6375","6318","6330","411700","6330"
"2017-03-07","6330","6362","6320","6360","447700","6360"
"2017-03-08","6350","6374","6342","6372","519600","6372"
"2017-03-09","6390","6408","6376","6399","463700","6399"
"2017-03-10","6444","6465","6413","6453","740700","6453"
"2017-03-13","6480","6560","6470","6523","660300","6523"
"2017-03-14","6523","6523","6473","6486","411300","6486"
"2017-03-15","6471","6472","6410","6439","615700","6439"
"2017-03-16","6419","6440","6392","6417","619400","6417"
"2017-03-17","6400","6426","6376","6391","599900","6391"
"2017-03-21","6390","6391","6318","6321","765900","6321"
"2017-03-22","6290","6322","6270","6277","1044500","6277"
"2017-03-23","6260","6289","6193","6279","1045900","6279"
"2017-03-24","6289","6440","6265","6440","1098900","6440"
"2017-03-27","6411","6422","6317","6329","999500","6329"
"2017-03-28","6370","6413","6333","6366","1691600","6366"
"2017-03-29","6360","6436","6304","6436","1208400","6436"
"2017-03-30","6440","6446","6343","6354","793900","6354"
"2017-03-31","6405","6538","6383","6383","1412200","6383"
"2017-04-03","6449","6589","6449","6565","1491000","6565"
"2017-04-04","6541","6550","6437","6497","1105200","6497"
"2017-04-05","6514","6541","6497","6529","694500","6529"
"2017-04-06","6527","6554","6467","6470","1001700","6470"
"2017-04-07","6476","6532","6437","6508","797900","6508"
"2017-04-10","6508","6531","6445","6456","795600","6456"
"2017-04-11","6431","6526","6430","6504","865300","6504"
"2017-04-12","6441","6490","6431","6485","728700","6485"
"2017-04-13","6467","6536","6467","6500","820400","6500"
"2017-04-14","6450","6485","6399","6408","683200","6408"
"2017-04-17","6371","6501","6371","6480","462800","6480"
"2017-04-18","6503","6517","6470","6487","505900","6487"
"2017-04-19","6498","6578","6488","6496","767300","6496"
"2017-04-20","6493","6528","6441","6508","561100","6508"
"2017-04-21","6516","6535","6482","6506","595200","6506"
"2017-04-24","6555","6637","6555","6597","812000","6597"
"2017-04-25","6512","6561","6453","6512","1565100","6512"
"2017-04-26","6500","6517","6473","6509","826600","6509"
"2017-04-27","6519","6535","6445","6450","853000","6450"
"2017-04-28","6510","6513","6303","6400","1771300","6400"
"2017-05-01","6427","6472","6395","6440","764400","6440"
"2017-05-02","6470","6586","6470","6529","1089200","6529"
"2017-05-08","6600","6705","6595","6698","1416800","6698"
"2017-05-09","6695","6750","6690","6741","974400","6741"
"2017-05-10","6740","6793","6734","6772","827600","6772"
"2017-05-11","6785","6871","6785","6832","947100","6832"
"2017-05-12","6830","6892","6822","6882","864400","6882"
"2017-05-15","6881","6947","6880","6930","827000","6930"
"2017-05-16","6938","6990","6938","6981","814600","6981"
"2017-05-17","6981","7050","6943","7041","897100","7041"
"2017-05-18","6982","7110","6975","7095","1268100","7095"
"2017-05-19","7100","7127","7055","7077","910200","7077"
"2017-05-22","7060","7110","7023","7107","674900","7107"
"2017-05-23","7101","7210","7097","7191","789900","7191"
"2017-05-24","7174","7175","7024","7062","1208100","7062"
"2017-05-25","7080","7167","7080","7148","720600","7148"
"2017-05-26","7148","7179","7095","7100","691700","7100"
"2017-05-29","7100","7178","7095","7152","455200","7152"
"2017-05-30","7150","7170","7124","7152","492200","7152"
"2017-05-31","7152","7187","7126","7154","1142600","7154"
"2017-06-01","7154","7344","7150","7336","1164100","7336"
"2017-06-02","7355","7417","7351","7417","1055700","7417"
"2017-06-05","7417","7548","7417","7532","1112100","7532"
"2017-06-06","7533","7644","7532","7570","1020800","7570"
"2017-06-07","7560","7672","7540","7652","1068000","7652"
"2017-06-08","7680","7736","7606","7618","1190400","7618"
"2017-06-09","7597","7599","7450","7474","1502500","7474"
"2017-06-12","7437","7538","7411","7529","1063900","7529"
"2017-06-13","7502","7629","7502","7620","834600","7620"
"2017-06-14","7649","7683","7626","7658","843500","7658"
"2017-06-15","7630","7667","7558","7634","1061900","7634"
"2017-06-16","7650","7730","7643","7661","1202400","7661"
"2017-06-19","7700","7792","7699","7771","778500","7771"
"2017-06-20","7794","7800","7732","7742","871700","7742"
"2017-06-21","7750","7808","7736","7761","785700","7761"
"2017-06-22","7780","7818","7760","7797","858500","7797"
"2017-06-23","7810","7835","7746","7754","1000100","7754"
"2017-06-26","7742","7784","7730","7740","636400","7740"
"2017-06-27","7699","7702","7428","7509","2379100","7509"
"2017-06-28","7428","7563","7419","7510","1133800","7510"
"2017-06-29","7549","7633","7502","7618","782700","7618"
"2017-06-30","7557","7609","7535","7608","772100","7608"
"2017-07-03","7631","7649","7590","7606","582500","7606"
"2017-07-04","7611","7622","7535","7561","573200","7561"
"2017-07-05","7522","7544","7454","7542","695100","7542"
"2017-07-06","7511","7593","7491","7569","604000","7569"
"2017-07-07","7528","7555","7495","7502","568900","7502"
"2017-07-10","7489","7528","7467","7511","680800","7511"
"2017-07-11","7500","7597","7476","7589","616900","7589"
"2017-07-12","7600","7636","7514","7525","553600","7525"
"2017-07-13","7580","7620","7536","7610","517900","7610"
"2017-07-14","7610","7662","7603","7655","496000","7655"
